0		67.77		1.30
0.07		69.0		19.6
0.09		69.0		12.0
0.01		69		12.0
0.12		68.6		26.2
0.17		83.0		8.0
0.179		75.0		4.0
0.1993		75.0		5.0
0.20		72.9		29.6
0.24		79.7		2.7
0.27		77.0		14.0
0.28		88.8		36.6
0.35		82.7		8.4
0.352		83.0		14.0
0.38		81.5		1.9
0.3802		83.0		13.5
0.4		95.0		17.0
0.4004		77.0		10.2
0.4247		87.1		11.2
0.43		86.5		3.7
0.44		82.6		7.8
0.44497		92.8		12.9
0.47		89.0		49.6
0.4783		80.9		9.0
0.48		97.0		62.0
0.51		90.4		1.9
0.57		96.8		3.4
0.593		104.0		13.0
0.68		92.0		8.0
0.73		97.3		7.0
0.781		105.0		12.0
0.875		125.0		17.0
0.88		90.0		40.0
0.9		117.0		23.0
1.037		154.0		20.0
1.3		168.0		17.0
1.363		160.0		33.6
1.43		177.0		18.0
1.53		140.0		14.0
1.75		202.0		40.0
1.965		186.5		50.4
2.3		224.0		8.0
2.34		222.0		7.0
2.36		226.0		8.0
